,no2
0,0.0002023973211180192
1,0.0002023973211180192
2,0.0002023973211180192
3,0.0002023973211180192
4,0.0002023973211180192
5,0.0002023973211180192
6,0.0002023973211180192
7,0.0002023973211180192
8,0.0002023973211180192
9,0.0002023973211180192
10,0.0002023973211180192
11,0.0002023973211180192
12,0.0002023973211180192
13,0.0002023973211180192
14,0.0002023973211180192
15,0.0002023973211180192
16,0.0002023973211180192
17,0.0002023973211180192
18,0.0002023973211180192
19,0.0002023973211180192
20,0.0002023973211180192
21,0.0002023973211180192
22,0.0002023973211180192
23,0.0002023973211180192
24,0.0002023973211180192
25,0.0002023973211180192
26,0.0002023973211180192
27,0.0002023973211180192
28,0.0002023973211180192
29,0.0002023973211180192
30,0.0002023973211180192
31,0.0002023973211180192
32,0.0002023973211180192
33,0.0002023973211180192
34,0.0002023973211180192
35,0.0002023973211180192
36,0.0002023973211180192
37,0.0002023973211180192
38,0.0002023973211180192
39,0.0002023973211180192
40,0.0002023973211180192
41,0.0002023973211180192
42,0.0002023973211180192
43,0.00020239732111810012
44,0.00020239732111810012
45,0.00020239732111810012
46,0.00020239732111810012
47,0.00020239732111810012
48,0.00020239732111810012
49,0.00020239732111810012
50,0.00020239732111810012
51,0.00020239732111810012
52,0.00020239732111810012
53,0.00020239732111810012
54,0.00020239732111810012
55,0.00020239732111810012
56,0.00020239732111810012
57,0.00020239732111810012
58,0.00020239732111810012
59,0.00020239732111810012
60,0.00020239732111810012
61,0.00020239732111810012
62,0.00020239732111810012
63,0.00020239732111810012
64,0.00020239732111810012
65,0.00020239732111810012
66,0.00020239732111810012
67,0.00020239732111810012
68,0.00020239732111810012
69,0.00020239732111810012
70,0.00020239732111810012
71,0.00020239732111810012
72,0.00020239732111810012
73,0.00020239732111810012
74,0.00020239732111810012
75,0.00020239732111810012
76,0.00020239732111810012
77,0.00020239732111810012
78,0.00020239732111810012
79,0.00020239732111810012
80,0.00020239732111810012
81,0.00020239732111810012
82,0.00020239732111810012
83,0.00020239732111810012
84,0.00020239732111810012
85,0.00020239732111810012
