,zonedist_level1_500,zonedist_level2_500,zonedist_level3_500,residence_500,manufacture_500,commercial_500,park_500
0,3.0,7.0,51.0,1.0,1.0,0.0,1.0
1,3.0,7.0,51.0,1.0,1.0,0.0,1.0
2,3.0,7.0,51.0,1.0,1.0,0.0,1.0
3,3.0,7.0,51.0,1.0,1.0,0.0,1.0
4,3.0,7.0,51.0,1.0,1.0,0.0,1.0
5,3.0,7.0,51.0,1.0,1.0,0.0,1.0
6,3.0,7.0,51.0,1.0,1.0,0.0,1.0
7,3.0,7.0,51.0,1.0,1.0,0.0,1.0
8,3.0,7.0,51.0,1.0,1.0,0.0,1.0
9,3.0,7.0,51.0,1.0,1.0,0.0,1.0
10,3.0,7.0,51.0,1.0,1.0,0.0,1.0
11,3.0,7.0,51.0,1.0,1.0,0.0,1.0
12,3.0,7.0,51.0,1.0,1.0,0.0,1.0
13,3.0,7.0,51.0,1.0,1.0,0.0,1.0
14,3.0,7.0,51.0,1.0,1.0,0.0,1.0
15,3.0,7.0,51.0,1.0,1.0,0.0,1.0
16,3.0,7.0,51.0,1.0,1.0,0.0,1.0
17,3.0,7.0,51.0,1.0,1.0,0.0,1.0
18,3.0,7.0,51.0,1.0,1.0,0.0,1.0
19,3.0,7.0,51.0,1.0,1.0,0.0,1.0
20,3.0,7.0,51.0,1.0,1.0,0.0,1.0
21,3.0,7.0,51.0,1.0,1.0,0.0,1.0
22,3.0,7.0,51.0,1.0,1.0,0.0,1.0
23,3.0,7.0,51.0,1.0,1.0,0.0,1.0
24,3.0,7.0,51.0,1.0,1.0,0.0,1.0
25,3.0,7.0,51.0,1.0,1.0,0.0,1.0
26,3.0,7.0,51.0,1.0,1.0,0.0,1.0
27,3.0,7.0,51.0,1.0,1.0,0.0,1.0
28,3.0,7.0,51.0,1.0,1.0,0.0,1.0
29,3.0,7.0,51.0,1.0,1.0,0.0,1.0
30,3.0,7.0,51.0,1.0,1.0,0.0,1.0
31,3.0,7.0,51.0,1.0,1.0,0.0,1.0
32,3.0,7.0,51.0,1.0,1.0,0.0,1.0
33,3.0,7.0,51.0,1.0,1.0,0.0,1.0
34,3.0,7.0,51.0,1.0,1.0,0.0,1.0
35,3.0,7.0,51.0,1.0,1.0,0.0,1.0
36,3.0,7.0,51.0,1.0,1.0,0.0,1.0
37,3.0,7.0,51.0,1.0,1.0,0.0,1.0
38,1.0,7.0,54.0,1.0,1.0,0.0,1.0
39,1.0,7.0,54.0,1.0,1.0,0.0,1.0
40,1.0,7.0,54.0,1.0,1.0,0.0,1.0
41,1.0,7.0,54.0,1.0,1.0,0.0,1.0
42,1.0,7.0,54.0,1.0,1.0,0.0,1.0
43,1.0,7.0,54.0,1.0,1.0,0.0,1.0
44,1.0,7.0,54.0,1.0,1.0,0.0,1.0
45,1.0,7.0,54.0,1.0,1.0,0.0,1.0
46,1.0,7.0,54.0,1.0,1.0,0.0,1.0
47,1.0,7.0,54.0,1.0,1.0,0.0,1.0
48,1.0,7.0,54.0,1.0,1.0,0.0,1.0
49,1.0,7.0,54.0,1.0,1.0,0.0,1.0
50,1.0,7.0,54.0,1.0,1.0,0.0,1.0
51,1.0,7.0,54.0,1.0,1.0,0.0,1.0
52,1.0,7.0,54.0,1.0,1.0,0.0,1.0
53,1.0,7.0,54.0,1.0,1.0,0.0,1.0
54,1.0,7.0,54.0,1.0,1.0,0.0,1.0
55,1.0,7.0,54.0,1.0,1.0,0.0,1.0
56,1.0,7.0,54.0,1.0,1.0,0.0,1.0
57,1.0,7.0,54.0,1.0,1.0,0.0,0.0
58,1.0,7.0,54.0,1.0,1.0,0.0,0.0
59,1.0,7.0,54.0,1.0,1.0,0.0,0.0
60,1.0,7.0,54.0,1.0,1.0,0.0,0.0
61,1.0,7.0,54.0,1.0,1.0,0.0,0.0
62,1.0,7.0,54.0,1.0,1.0,0.0,0.0
63,1.0,7.0,54.0,1.0,1.0,0.0,0.0
64,1.0,7.0,54.0,1.0,1.0,0.0,0.0
65,1.0,7.0,54.0,1.0,1.0,0.0,0.0
66,1.0,7.0,54.0,1.0,1.0,0.0,0.0
67,1.0,7.0,54.0,1.0,1.0,0.0,0.0
68,1.0,7.0,54.0,1.0,1.0,0.0,0.0
69,1.0,7.0,54.0,1.0,1.0,0.0,0.0
70,1.0,7.0,54.0,1.0,1.0,0.0,0.0
71,1.0,7.0,54.0,1.0,1.0,0.0,0.0
72,1.0,7.0,54.0,1.0,1.0,0.0,0.0
73,1.0,7.0,54.0,1.0,1.0,0.0,0.0
74,1.0,7.0,54.0,1.0,1.0,0.0,0.0
