,o3
0,0.14792844653127923
1,0.14792844653127923
2,0.14792844653127923
3,0.14792844653127923
4,0.14792844653127923
5,0.14792844653127923
6,0.14792844653127923
7,0.14792844653127923
8,0.14792844653127923
9,0.14792844653127923
10,0.14792844653127923
11,0.14792844653127923
12,0.14792844653127923
13,0.14792844653127923
14,0.14792844653127923
15,0.14792844653127923
16,0.14792844653127923
17,0.14792844653127923
18,0.14792844653127923
19,0.14792844653127923
20,0.14792844653127923
21,0.14792844653127923
22,0.14792844653127923
23,0.14792844653127923
24,0.14792844653127923
25,0.14792844653127923
26,0.14792844653127923
27,0.14792844653127923
28,0.14792844653127923
29,0.14792844653127923
30,0.14792844653127923
31,0.14792844653127923
32,0.14792844653127923
33,0.14792844653127923
34,0.14792844653127923
35,0.14792844653127923
36,0.14792844653127923
37,0.14792844653127923
38,0.14792844653127923
39,0.14792844653127923
40,0.14792844653127923
41,0.14792844653127923
42,0.14792844653127923
43,0.14792844653133835
44,0.14792844653133835
45,0.14792844653133835
46,0.14792844653133835
47,0.14792844653133835
48,0.14792844653133835
49,0.14792844653133835
50,0.14792844653133835
51,0.14792844653133835
52,0.14792844653133835
53,0.14792844653133835
54,0.14792844653133835
55,0.14792844653133835
56,0.14792844653133835
57,0.14792844653133835
58,0.14792844653133835
59,0.14792844653133835
60,0.14792844653133835
61,0.14792844653133835
62,0.14792844653133835
63,0.14792844653133835
64,0.14792844653133835
65,0.14792844653133835
66,0.14792844653133835
67,0.14792844653133835
68,0.14792844653133835
69,0.14792844653133835
70,0.14792844653133835
71,0.14792844653133835
72,0.14792844653133835
73,0.14792844653133835
74,0.14792844653133835
75,0.14792844653133835
76,0.14792844653133835
77,0.14792844653133835
78,0.14792844653133835
79,0.14792844653133835
80,0.14792844653133835
81,0.14792844653133835
82,0.14792844653133835
83,0.14792844653133835
84,0.14792844653133835
85,0.14792844653133835
86,0.14792844653133835
87,0.14792844653133835
88,0.14792844653133835
89,0.14792844653133835
90,0.14792844653133835
91,0.14792844653133835
92,0.14792844653133835
93,0.14792844653133835
94,0.14792844653133835
95,0.14792844653133835
96,0.14792844653133835
97,0.14792844653133835
98,0.14792844653133835
99,0.14792844653133835
100,0.14792844653133835
101,0.14792844653133835
102,0.14792844653133835
103,0.14792844653133835
104,0.14792844653133835
105,0.14792844653133835
106,0.14792844653133835
107,0.14792844653133835
108,0.14792844653133835
109,0.14792844653133835
110,0.14792844653133835
111,0.14792844653133835
112,0.14792844653133835
113,0.14792844653133835
114,0.14792844653133835
115,0.14792844653133835
116,0.14792844653133835
117,0.14792844653133835
118,0.14792844653133835
119,0.14792844653133835
120,0.14792844653133835
121,0.14792844653133835
122,0.14792844653133835
123,0.14792844653133835
124,0.14792844653133835
125,0.14792844653133835
126,0.14792844653133835
127,0.14792844653133835
128,0.14792844653133835
129,0.14792844653133835
130,0.14792844653133835
131,0.14792844653133835
132,0.14792844653133835
133,0.14792844653133835
134,0.14792844653133835
135,0.14792844653133835
136,0.14792844653133835
137,0.14792844653133835
138,0.14792844653133835
139,0.14792844653133835
140,0.14792844653133835
141,0.14792844653133835
142,0.14792844653133835
143,0.14792844653133835
144,0.14792844653133835
145,0.14792844653133835
146,0.14792844653133835
147,0.14792844653133835
148,0.14792844653133835
149,0.14792844653133835
