,co
0,0.04738928286719038
1,0.04738928286719038
2,0.04738928286719038
3,0.04738928286719038
4,0.04738928286719038
5,0.04738928286719038
6,0.04738928286719038
7,0.04738928286719038
8,0.04738928286719038
9,0.04738928286719038
10,0.04738928286719038
11,0.04738928286719038
12,0.04738928286719038
13,0.04738928286719038
14,0.04738928286719038
15,0.04738928286719038
16,0.04738928286719038
17,0.04738928286719038
18,0.04738928286719038
19,0.04738928286719038
20,0.04738928286719038
21,0.04738928286719038
22,0.04738928286719038
23,0.04738928286719038
24,0.04738928286719038
25,0.04738928286719038
26,0.04738928286719038
27,0.04738928286719038
28,0.04738928286719038
29,0.04738928286719038
30,0.04738928286719038
31,0.04738928286719038
32,0.04738928286719038
33,0.04738928286719038
34,0.04738928286719038
35,0.04738928286719038
36,0.04738928286719038
37,0.04738928286719038
38,0.04738928286719038
39,0.04738928286719038
40,0.04738928286719038
41,0.04738928286719038
42,0.04738928286719038
43,0.04680582198854274
44,0.04680582198854274
45,0.04680582198854274
46,0.04680582198854274
47,0.04680582198854274
48,0.04680582198854274
49,0.04680582198854274
50,0.04680582198854274
51,0.04680582198854274
52,0.04680582198854274
53,0.04680582198854274
54,0.04680582198854274
55,0.04680582198854274
56,0.04680582198854274
57,0.04680582198854274
58,0.04680582198854274
59,0.04680582198854274
60,0.04680582198854274
61,0.04680582198854274
62,0.04680582198854274
63,0.04680582198854274
64,0.04680582198854274
65,0.04680582198854274
66,0.04680582198854274
67,0.04680582198854274
68,0.04680582198854274
69,0.04680582198854274
70,0.04680582198854274
71,0.04680582198854274
72,0.04680582198854274
73,0.04680582198854274
74,0.04680582198854274
75,0.04680582198854274
76,0.04680582198854274
77,0.04680582198854274
78,0.04680582198854274
79,0.04680582198854274
80,0.04680582198854274
81,0.04680582198854274
82,0.04680582198854274
83,0.04680582198854274
84,0.04680582198854274
85,0.04680582198854274
86,0.04680582198854274
87,0.04680582198854274
88,0.04680582198854274
89,0.04680582198854274
90,0.04680582198854274
91,0.04680582198854274
92,0.04680582198854274
93,0.04680582198854274
94,0.04680582198854274
95,0.04680582198854274
96,0.04680582198854274
97,0.04680582198854274
98,0.04680582198854274
99,0.04680582198854274
100,0.04680582198854274
101,0.04680582198854274
102,0.04680582198854274
103,0.04680582198854274
104,0.04680582198854274
105,0.04680582198854274
106,0.04680582198854274
107,0.04680582198854274
108,0.04680582198854274
109,0.04680582198854274
110,0.04680582198854274
111,0.04680582198854274
112,0.04680582198854274
113,0.04680582198854274
114,0.04680582198854274
115,0.04680582198854274
