feature,data_type,n_distinct,n_missing,n_negative,n_zeros,count,mean,std,min,25%,50%,75%,max
Longitude,float64,10109 (90.03%),0 (0.00%),11229 (100.00%),0 (0.00%),11229.0,-73.93392662543681,0.02825290260481586,-73.99445667,-73.95570333,-73.93296833,-73.90964667,-73.87945833
Latitude,float64,9992 (88.98%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,40.80880021075608,0.023171384087466725,40.75879167,40.790905,40.81068833,40.824515,40.85949667
UHI Index,float64,595 (5.30%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,1.000001411991807,0.016238272864479427,0.956121565,0.988577288,1.000237307,1.011176088,1.046035939
aod55_mean_5x5,float64,68 (0.61%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.19159973313147505,0.010561124292129343,0.1732383333333333,0.18286,0.1902399999999999,0.20174,0.21014
canopy_heigth_res10_mean_5x5,int64,12 (0.11%),0 (0.00%),0 (0.00%),8536 (76.02%),11229.0,0.5866061091815834,1.375294299521943,0.0,0.0,0.0,0.0,11.0
canopy_heigth_count_res10_mean_5x5,int64,26 (0.23%),0 (0.00%),0 (0.00%),6991 (62.26%),11229.0,5.130020482678778,10.460037146275752,0.0,0.0,0.0,6.0,81.0
canopy_heigth_res30_mean_5x5,int64,11 (0.10%),0 (0.00%),0 (0.00%),7598 (67.66%),11229.0,0.6590079259061359,1.2860180015640779,0.0,0.0,0.0,1.0,10.0
canopy_heigth_count_res30_mean_5x5,int64,9 (0.08%),0 (0.00%),0 (0.00%),10608 (94.47%),11229.0,0.11684032416065544,0.6331244651827989,0.0,0.0,0.0,0.0,8.0
canopy_heigth_res5_mean_5x5,int64,18 (0.16%),0 (0.00%),0 (0.00%),9306 (82.87%),11229.0,0.5341526404844599,1.6347053343996794,0.0,0.0,0.0,0.0,18.0
canopy_heigth_count_res5_mean_5x5,int64,17 (0.15%),0 (0.00%),0 (0.00%),7973 (71.00%),11229.0,1.476266809154867,3.190665450857329,0.0,0.0,0.0,1.0,16.0
