,hcho
0,0.00014126741734797417
1,0.00014126741734797417
2,0.00014126741734797417
3,0.00014126741734797417
4,0.00014126741734797417
5,0.00014126741734797417
6,0.00014126741734797417
7,0.00014126741734797417
8,0.00014126741734797417
9,0.00014126741734797417
10,0.00014126741734797417
11,0.00014126741734797417
12,0.00014126741734797417
13,0.00014126741734797417
14,0.00014126741734797417
15,0.00014126741734797417
16,0.00014126741734797417
17,0.00014126741734797417
18,0.00014126741734797417
19,0.00014126741734797417
20,0.00014126741734797417
21,0.00014126741734797417
22,0.00014126741734797417
23,0.00014126741734797417
24,0.00014126741734797417
25,0.00014126741734797417
26,0.00014126741734797417
27,0.00014126741734797417
28,0.00014126741734797417
29,0.00014126741734797417
30,0.00014126741734797417
31,0.00014126741734797417
32,0.00014126741734797417
33,0.00014126741734797417
34,0.00014126741734797417
35,0.00014126741734797417
36,0.00014126741734797417
37,0.00014126741734797417
38,0.00014126741734797417
39,0.00014126741734797417
40,0.00014126741734797417
41,0.00014126741734797417
42,0.00014126741734797417
43,0.00014126741734803063
44,0.00014126741734803063
45,0.00014126741734803063
46,0.00014126741734803063
47,0.00014126741734803063
48,0.00014126741734803063
49,0.00014126741734803063
50,0.00014126741734803063
51,0.00014126741734803063
52,0.00014126741734803063
53,0.00014126741734803063
54,0.00014126741734803063
55,0.00014126741734803063
56,0.00014126741734803063
57,0.00014126741734803063
58,0.00014126741734803063
59,0.00014126741734803063
60,0.00014126741734803063
61,0.00014126741734803063
62,0.00014126741734803063
63,0.00014126741734803063
64,0.00014126741734803063
65,0.00014126741734803063
66,0.00014126741734803063
67,0.00014126741734803063
68,0.00014126741734803063
69,0.00014126741734803063
70,0.00014126741734803063
71,0.00014126741734803063
72,0.00014126741734803063
73,0.00014126741734803063
74,0.00014126741734803063
75,0.00014126741734803063
76,0.00014126741734803063
77,0.00014126741734803063
78,0.00014126741734803063
79,0.00014126741734803063
80,0.00014126741734803063
81,0.00014126741734803063
82,0.00014126741734803063
83,0.00014126741734803063
84,0.00014126741734803063
85,0.00014126741734803063
86,0.00014126741734803063
87,0.00014126741734803063
88,0.00014126741734803063
89,0.00014126741734803063
90,0.00014126741734803063
91,0.00014126741734803063
92,0.00014126741734803063
93,0.00014126741734803063
94,0.00014126741734803063
95,0.00014126741734803063
96,0.00014126741734803063
97,0.00014126741734803063
98,0.00014126741734803063
99,0.00014126741734803063
100,0.00014126741734803063
101,0.00014126741734803063
102,0.00014126741734803063
103,0.00014126741734803063
104,0.00014126741734803063
105,0.00014126741734803063
106,0.00014126741734803063
107,0.00014126741734803063
108,0.00014126741734803063
109,0.00014126741734803063
110,0.00014126741734803063
111,0.00014126741734803063
112,0.00014126741734803063
113,0.00014126741734803063
114,0.00014126741734803063
115,0.00014126741734803063
116,0.00014126741734803063
117,0.00014126741734803063
118,0.00014126741734803063
119,0.00014126741734803063
120,0.00014126741734803063
121,0.00014126741734803063
122,0.00014126741734803063
123,0.00014126741734803063
124,0.00014126741734803063
125,0.00014126741734803063
126,0.00014126741734803063
127,0.00014126741734803063
128,0.00014126741734803063
129,0.00014126741734803063
130,0.00014126741734803063
131,0.00014126741734803063
132,0.00014126741734803063
133,0.00014126741734803063
134,0.00014126741734803063
135,0.00014126741734803063
136,0.00014126741734803063
137,0.00014126741734803063
138,0.00014126741734803063
139,0.00014126741734803063
140,0.00014126741734803063
141,0.00014126741734803063
142,0.00014126741734803063
143,0.00014126741734803063
144,0.00014126741734803063
145,0.00014126741734803063
146,0.00014126741734803063
147,0.00014126741734803063
148,0.00014126741734803063
149,0.00014126741734803063
150,0.00014126741734803063
151,0.00014126741734803063
152,0.00014126741734803063
153,0.00014126741734803063
154,0.00014126741734803063
155,0.00014126741734803063
156,0.00014126741734803063
157,0.00014126741734803063
158,0.00014126741734803063
159,0.00014126741734803063
160,0.00014126741734803063
161,0.00014126741734803063
162,0.00014126741734803063
163,0.00014126741734803063
164,0.00014126741734803063
165,0.00014126741734803063
166,0.00014126741734803063
167,0.00014126741734803063
168,0.00014126741734803063
169,0.00014126741734803063
170,0.00014126741734803063
171,0.00014126741734803063
172,0.00014126741734803063
173,0.00014126741734803063
174,0.00014126741734803063
175,0.00014126741734803063
176,0.00014126741734803063
177,0.00014126741734803063
178,0.00014126741734803063
179,0.00014126741734803063
180,0.00014126741734803063
181,0.00014126741734803063
182,0.00014126741734803063
183,0.00014126741734803063
184,0.00014126741734803063
185,0.00014126741734803063
186,0.00014126741734803063
187,0.00014126741734803063
188,0.00014126741734803063
189,0.00014126741734803063
190,0.00014126741734803063
191,0.00014126741734803063
192,0.00014126741734803063
193,0.00014126741734803063
194,0.00014126741734803063
195,0.00014126741734803063
196,0.00014126741734803063
197,0.00014126741734803063
198,0.00014126741734803063
199,0.00014126741734803063
200,0.00014126741734803063
201,0.00014126741734803063
202,0.00014126741734803063
203,0.00014126741734803063
204,0.00014126741734803063
205,0.00014126741734803063
206,0.00014126741734803063
207,0.00014126741734803063
208,0.00014126741734803063
209,0.00014126741734803063
210,0.00014126741734803063
211,0.00014126741734803063
212,0.00014126741734803063
213,0.00014126741734803063
214,0.00014126741734803063
215,0.00014126741734803063
216,0.00014126741734803063
217,0.00014126741734803063
218,0.00014126741734803063
219,0.00014126741734803063
220,0.00014126741734803063
221,0.00014126741734803063
222,0.00014126741734803063
223,0.00014126741734803063
224,0.00014126741734803063
225,0.00014126741734803063
226,0.00014126741734803063
227,0.00014126741734803063
228,0.00014126741734803063
229,0.00014126741734803063
230,0.00014126741734803063
231,0.00014126741734803063
232,0.00014126741734803063
233,0.00014126741734803063
234,0.00014126741734803063
235,0.00014126741734803063
236,0.00014126741734803063
237,0.00014126741734803063
238,0.00014126741734803063
239,0.00014126741734803063
240,0.00014126741734803063
241,0.00014126741734803063
242,0.00014126741734803063
243,0.00014126741734803063
244,0.00014126741734803063
245,0.00014126741734803063
246,0.00014126741734803063
247,0.00014126741734803063
248,0.00014126741734803063
249,0.00014126741734803063
250,0.00014126741734803063
