,Longitude,Latitude,datetime,UHI Index,red,blue,green,nir08,swir16,swir22,coastal,lwir11,building_height,building_sd,building_year,building_area,street_width,street_traffic,street_lane,street_orientation
0,-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,0.0713975,0.04560249999999999,0.06952750000000002,0.20887,0.13649,0.09543249999999998,0.03925000000000001,37.78553354000002,65.1,0.0,1928.0,936.1115,44.0,4.0,4.0,1.0
1,-73.90918667,40.813045,24-07-2021 15:53,1.030288903,0.0713975,0.04560249999999999,0.06952750000000002,0.20887,0.13649,0.09543249999999998,0.03925000000000001,37.78553354000002,65.1,0.0,1928.0,936.1115,44.0,4.0,4.0,1.0
2,-73.909215,40.81297833,24-07-2021 15:53,1.023797758,0.10783500000000001,0.08875,0.10676249999999998,0.23001749999999999,0.185,0.1352525,0.07574249999999999,37.35828104000001,0.0,-1.0,0.0,0.0,31.0,1.0,2.3333333,1.0
3,-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,0.10783500000000001,0.08875,0.10676249999999998,0.23001749999999999,0.185,0.1352525,0.07574249999999999,37.35828104000001,0.0,-1.0,0.0,0.0,31.0,1.0,2.3333333,1.0
4,-73.90925667,40.812845,24-07-2021 15:53,1.021634043,0.10783500000000001,0.08875,0.10676249999999998,0.23001749999999999,0.185,0.1352525,0.07574249999999999,37.35828104000001,0.0,-1.0,0.0,0.0,31.0,1.0,2.3333333,1.0
5,-73.90928,40.81277667,24-07-2021 15:53,1.021634043,0.10783500000000001,0.08875,0.10676249999999998,0.23001749999999999,0.185,0.1352525,0.07574249999999999,37.35828104000001,0.0,-1.0,0.0,0.0,31.0,1.0,2.3333333,1.0
6,-73.90931167,40.81271,24-07-2021 15:53,1.015142899,0.1826625,0.11226249999999999,0.15961750000000002,0.24583,0.22663500000000003,0.18719999999999998,0.09271000000000001,37.09167548000005,12.83,0.0,1931.0,33.707344,36.0,1.0,3.0,1.0
7,-73.90934,40.81264333,24-07-2021 15:53,1.015142899,0.1826625,0.11226249999999999,0.15961750000000002,0.24583,0.22663500000000003,0.18719999999999998,0.09271000000000001,37.09167548000005,12.83,0.0,1931.0,33.707344,36.0,1.0,3.0,1.0
8,-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,0.1826625,0.11226249999999999,0.15961750000000002,0.24583,0.22663500000000003,0.18719999999999998,0.09271000000000001,37.09167548000005,12.83,0.0,1931.0,33.707344,36.0,1.0,3.0,1.0
9,-73.90938333,40.812485,24-07-2021 15:53,1.012979184,0.1826625,0.11226249999999999,0.15961750000000002,0.24583,0.22663500000000003,0.18719999999999998,0.09271000000000001,37.09167548000005,12.83,0.0,1931.0,33.707344,36.0,1.0,3.0,1.0
10,-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,0.19468000000000002,0.17191,0.18865749999999998,0.22506750000000003,0.27718,0.2440425,0.1519725,37.06433132000001,49.435,1.0852995,1931.0,2639.5444,33.5,1.0,2.6666667,1.0
11,-73.90942,40.81233,24-07-2021 15:53,1.010815469,0.19468000000000002,0.17191,0.18865749999999998,0.22506750000000003,0.27718,0.2440425,0.1519725,37.06433132000001,49.435,1.0852995,1931.0,2639.5444,33.5,1.0,2.6666667,1.0
12,-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,0.19468000000000002,0.17191,0.18865749999999998,0.22506750000000003,0.27718,0.2440425,0.1519725,37.06433132000001,49.435,1.0852995,1931.0,2639.5444,33.5,1.0,2.6666667,1.0
13,-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,0.19446000000000002,0.15436499999999997,0.1809575,0.241265,0.25056,0.22383000000000003,0.13539,37.33777292000002,63.78,0.0,1927.0,2716.2603,36.0,1.0,3.0,1.0
