,nbr,ndbi,swir22,ndwi,aod_55,o3,so2,hcho,evi,ndvi,building_year,population_res1000,savi,co,building_height,coastal,green,ibi,blue,red,si,ndsi,gndvi,street_lane,awei_nsh,awei_sh,albedo,mndwi,no2,ui,building_area,var,building_sd,swir16,building_area_per_pixel,nir08,arvi,street_width,lwir11,msavi,residence_1000_1,street_orientation_0,street_orientation_1,street_orientation_2,street_orientation_3,park_200_1,commercial_1000_1,manufacture_100_1,zonedist_level1_30_1,zonedist_level1_30_2,zonedist_level1_30_3,street_traffic_1,street_traffic_2,street_traffic_3,street_traffic_4,park_1000_1,residence_200_1,park_100_1,park_500_1,manufacture_1000_1,commercial_500_1,manufacture_200_1,manufacture_500_1,commercial_200_1,commercial_100_1,residence_100_1,residence_500_1,overlay_level1_0,overlay_level1_1,y_test,y_pred
7830,0.3042742154195989,0.6033793872116273,0.2499155437108217,0.8609108928165673,0.34567901234567877,0.06564928347485477,0.40911552341981783,0.26718723892645546,0.0639209644510077,0.10042371160392813,0.0,7.795279974940334e-06,0.062289579188503225,0.021311546694530392,0.0,0.4313555024270085,0.4879566003616636,0.601461535139373,0.4595408895265422,0.5077091008323101,0.1400891986698927,0.8699936482180353,0.13908910713450684,0.375,0.8083225400665784,0.488539372572001,0.45958672804768896,0.8699936482180353,0.39081416348265763,0.1272177647614398,0.0,0.0,0.0,0.336628957125202,0.0,0.4227467811158799,0.07321948593323328,0.330188679245283,0.5757680358992068,0.04512041887928593,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000958546,1.0040113538446578
2241,0.41806771648993474,0.518961765178992,0.13843324199542062,0.7416762363989959,0.5925925925925926,0.11247083775309363,0.8584707760066701,0.4304896028007784,0.11620574355321048,0.1709304809666832,0.9935643564356436,1.0,0.11893408343961719,5.799805080641818e-12,0.32167832167832167,0.30022458885749453,0.2916455696202532,0.6187499430873847,0.2986370157819227,0.34308909810342497,0.1827577354322779,0.8075518631028475,0.258323763543047,0.75,0.8808357604486493,0.5304167414955054,0.3017746311427336,0.8075518631028475,0.809889006746946,0.1290096050802927,0.4965406207885259,0.0032857142857142855,0.003187301789669955,0.21118927654720016,0.4965406207885259,0.3206261045190608,0.11668151629975536,0.660377358490566,0.4630652399033466,0.0879641871597906,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.001319165,0.9980207766513732
8207,0.15658529291131223,0.7575914618991428,0.32994256972335884,0.8206631649926771,0.19753086419753085,0.06564928350996979,0.40911552341981783,0.26718723892645546,0.099081323423448,0.1337065182335496,0.9683168316831683,0.062438764960154235,0.09211867920302164,3.256062086620659e-12,0.032391608391608394,0.42280663623849873,0.4102712477396019,0.563844332357231,0.4225968436154951,0.43430208759721667,0.27292531170864087,0.6293321008560782,0.17933683495758473,0.0,0.659051112966603,0.3311672353658419,0.44117102927316776,0.6293321008560782,0.3908141634834701,0.3052502956095638,0.10080295627957753,1.0,0.003187301789669955,0.4200969673923377,0.10080295627957751,0.38367836404948247,0.12279813043038917,0.0,0.30255436658612256,0.06826248396677534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984730684,0.9867887784286162
1500,0.3180063402416331,0.6539281464491499,0.15776434818512808,0.7023050592351678,0.5061728395061729,0.11247083775309363,0.8584707760066701,0.4304896028007784,0.14954718266303502,0.222509810799764,0.9678217821782178,0.5447254664167431,0.1513979529250849,0.5114698263784767,0.07433566433566434,0.28566253712960904,0.2286437613019891,0.6037349964146189,0.25853658536585383,0.2657934233865468,0.30651591310003184,0.593477249608855,0.29769494069539076,0.625,0.8146341356510914,0.4462697429983836,0.26296152173080034,0.593477249608855,0.809889006746946,0.3093664826834283,0.45964987981944727,0.0009163793103448276,0.003187301789669955,0.24493773172354788,0.45964987981944727,0.27310022721534966,0.1872141636473695,0.5471698113207547,0.6132205730065563,0.11144540644978819,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.989659146,0.9957969312299106
4730,0.3277052121766776,0.60115625110097,0.1404601929357006,0.6781002103292292,0.7345679012345676,0.06564928350996979,0.40911552341981783,0.26718723892645546,0.1804951076480238,0.2714252763921468,0.9521452475247525,0.0942345435423528,0.17961352504864814,0.11277401114169017,0.047338000000000005,0.26501485184380186,0.19739602169981918,0.6095178914565056,0.23794835007173595,0.21824259789875855,0.27431229596197015,0.6216856772742847,0.32189978959236365,0.75,0.8457165523785729,0.4624942106108867,0.23003786332086337,0.6216856772742847,0.3908141634834701,0.3169485786377373,0.19110442449956247,0.0005641111666666667,0.015129900396819072,0.1984504230440156,0.19110442449956244,0.24936884625094669,0.25988750528136273,0.5660377358490566,0.4972385226095948,0.13188046312772733,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.015263105,1.0089838873825074
3707,0.40341087329170816,0.5262955967398001,0.27228707631094934,0.6882541043936576,0.5061728395061729,0.15211158258443902,0.4499455313052224,0.2410190188191759,0.2505090249094502,0.2605376040194308,0.9539603960396039,0.5466742557093678,0.23307803894954388,0.11277401114169017,0.08062937062937063,0.4118669854379481,0.4615551537070522,0.6205320813613773,0.419942611190818,0.4814435802974486,0.2613177744362774,0.7238909840438151,0.31174589557056914,0.375,0.7247486867278977,0.5540705313005091,0.5273956809715732,0.7238909840438151,0.21756678593122314,0.23773505377245682,0.1660520099846667,0.0019879310344827587,0.003187301789669955,0.40507652818709,0.1660520099846667,0.5930951779853569,0.21265291123074953,0.27358490566037735,0.5324473593372439,0.18711216148523568,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.995789671,1.0063982401650589
3253,0.38860035943671434,0.5569548908195454,0.0898990278142711,0.6092814966560902,0.45679012345678993,0.2584918802956082,0.5001846444223328,0.20882043428391192,0.18029327228196534,0.33057165935581556,0.9717821782178218,0.617164640057008,0.19828219911107037,0.11277401114096008,0.20406993006993007,0.16308048974860515,0.12737793851717877,0.6135930570860877,0.150286944045911,0.15104379860826878,0.3775453383839992,0.5776253078163769,0.3907185032304481,0.4583333375,0.8910153998549208,0.4829862850553416,0.1497420081810916,0.5776253078163769,0.004395278079295739,0.34477935681829663,0.008607500590593318,0.0038737166770365775,0.003187301789669955,0.13765567069113033,0.008607500590593318,0.19401666245897475,0.26765125083665087,0.3553459245283019,0.4685881946841539,0.1433325948353268,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.007209277,0.99649116936157
3960,0.46449383284388157,0.4607045073896814,0.12296835704365454,0.5439810962783056,0.46913580246913567,0.06564928350218224,0.40911552341981783,0.26718723892645546,0.2669256032793439,0.38538753114971225,0.0,0.34984509175955847,0.27722730631152226,0.11277401114096008,0.0,0.23292037962761697,0.17830018083182614,0.6200478826389171,0.201865136298422,0.20562150361577292,0.3354715394679724,0.5951796270004976,0.4560189036408155,0.375,0.8523897497934484,0.5381343516356794,0.24551136438154478,0.5951796270004976,0.3908141634834701,0.32377425443099705,0.0,0.0,0.0,0.188373419526571,0.0,0.32819994950770004,0.3355899508784417,0.28773584905660377,0.5999309630652381,0.21091797880180724,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.001078752,0.9995909786477998
4140,0.21483877909827115,0.7284454529652223,0.17630719567583802,0.8291544110332081,0.3209876543209873,0.06564928357239808,0.4091155234193143,0.2671872389267048,0.07427322903030684,0.12368133814529758,0.9618811881188118,0.28664426874513965,0.07404520576481564,0.11277401114756103,0.060187412587412586,0.3063102224154165,0.26271247739602166,0.5765484270257084,0.2962697274031566,0.2880338381771049,0.2362044811545605,0.6753562207475046,0.17084558890737445,0.5,0.8229071472245415,0.4043309356598011,0.2612401353106151,0.6753562207475046,0.3908141634842828,0.26784648762460694,0.7280701837281061,0.0008438039215686274,0.04117928891297073,0.24222834870234816,0.7280701837281061,0.22506942691239584,0.11531212271237704,0.4811320754716981,0.6334138764238857,0.05253319946961274,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.032572824,1.032675215507359
3818,0.3892694794771858,0.5031814021296708,0.1302128298487294,0.6718378562990202,0.6358024691358026,0.08510340299265806,0.41830464764664044,0.2612978637918685,0.1801949421513936,0.26387575426800003,0.9482673267326733,0.6506714667910498,0.1813368744090625,0.11277401114426766,0.078006993006993,0.2726943418097513,0.21504520795660031,0.6192468582163964,0.2464849354375896,0.24375767498976664,0.21466791507854266,0.7284349555821082,0.32816214362802726,0.5,0.8772854879323606,0.5098348724443982,0.24457630294056396,0.7284349555821082,0.3518234412973149,0.2205632973201076,0.19264368550937713,0.0012676136363636364,0.005402476533490574,0.1748265044205723,0.19264368550937713,0.2780232264579652,0.23447419608069617,0.4150943396226415,0.6039005868139455,0.13432324699240528,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.998314005,0.9955870477905783
